"city","year","PM10","SO2","NOx","pop_density","GRP_pc","total_gas_supply","green_coveraged","post","key_regions"
"Beijing","2008","123","36","49","792.06 ","63029","601381","37.15","0","1"
"Beijing","2009","121","34","53","759.14 ","70452","682839","47.68","0","1"
"Beijing","2010","121","32","57","766.44 ","75943","719740","55.1","0","1"
"Beijing","2011","113 ","28 ","56 ","778.69 ","81658","729608","51.59","0","1"
"Beijing","2012","109","29","52","790.63 ","87475","924763","51.92","0","1"
"Beijing","2013","108","26","56","802.08 ","148181","989484","51.11","1","1"
"Beijing","2014","116","22","57","812.50 ","99995","1136874","60.41","1","1"
"Beijing","2015","102","14","0050","819.69 ","106497","1417557","60.99 ","1","1"
"Beijing","2016","92","10","48","830.54 ","118198","1622393","61.58","1","1"
"Beijing","2017","84","8","0046","828.36 ","128994","1641696","48.42","1","1"
"Tianjin","2008","88","61","41","823.87 ","55473","125109","28.58","0","1"
"Tianjin","2009","101","56","40","833.20 ","62574","128080","30.31","0","1"
"Tianjin","2010","96","54","45","837.46 ","72994","160000","32.04","0","1"
"Tianjin","2011","93 ","42 ","38 ","847.28 ","85213","169739","34.51","0","1"
"Tianjin","2012","105","48","42","844.56 ","93173","256241","34.89","0","1"
"Tianjin","2013","150","59","54","853.74 ","143129","281885","35.46","1","1"
"Tianjin","2014","133","49","54","853.15 ","105231","301000","41.82","1","1"
"Tianjin","2015","117","29","0042","861.71 ","107960","297416","32.65","1","1"
"Tianjin","2016","103","21","48","876.06 ","115053","330923","32.81","1","1"
"Tianjin","2017","94","16","0050","881.09 ","119238","422860","36.72","1","1"
"Shijiazhuang","2008","116","46","31","609.84 ","28923","18478","39.26","0","1"
"Shijiazhuang","2009","104","45","35","616.74 ","30428","11027","41.53","0","1"
"Shijiazhuang","2010","98","54","41","624.15 ","33915","14419","43.01","0","1"
"Shijiazhuang","2011","99 ","52 ","41 ","629.29 ","39919","24568","47.22","0","1"
"Shijiazhuang","2012","98","58","40","634.34 ","43552","24613","41.06","0","1"
"Shijiazhuang","2013","305","105","68","633.01 ","48491","34194","42.89","1","1"
"Shijiazhuang","2014","206","62","53","781.83 ","48970","35231","48.98","1","1"
"Shijiazhuang","2015","147","47","0051","788.02 ","51043","100133","44.42","1","1"
"Shijiazhuang","2016","164","41","58","795.04 ","55177","100133","45.45","1","1"
"Shijiazhuang","2017","154","33","0054","692.03 ","69926","106680","44.42","1","1"
"Taiyuan","2008","94","73","21","515.42 ","42378","73463","34.65","0","0"
"Taiyuan","2009","106","75","22","524.37 ","44319","72387","34.77","0","0"
"Taiyuan","2010","89","68","20","524.92 ","50225","82087","35.75","0","0"
"Taiyuan","2011","84 ","64 ","23 ","523.15 ","49292","94556","38.01","0","0"
"Taiyuan","2012","80","56","26","524.29 ","54440","106822","39.07","0","0"
"Taiyuan","2013","157","80","43","525.90 ","65746","85741","39.88","1","0"
"Taiyuan","2014","138","73","36","529.05 ","59023","77014","44.77","1","0"
"Taiyuan","2015","114","71","0038","525.74 ","63483","83000","40.3","1","0"
"Taiyuan","2016","125","68","46","529.48 ","68234","81156","35.83","1","0"
"Taiyuan","2017","131","54","0054","528.05 ","88340","130238","31.36","1","0"
"Hohhot","2008","70","49","45","130.23 ","49606","17210","35.14","0","0"
"Hohhot","2009","74","49","40","132.01 ","61108","21281","35.45","0","0"
"Hohhot","2010","68","46","34","133.28 ","66929","30623","35.73","0","0"
"Hohhot","2011","76 ","54 ","39 ","133.10 ","75266","38199","35.91","0","0"
"Hohhot","2012","91","51","37","131.95 ","84534","42050","36","0","0"
"Hohhot","2013","146","56","40","136.16 ","115829","37474","36.47","1","0"
